title,author,genre,year,price,copies
The Hobbit,J.R.R. Tolkien,Fantasy,1937,14.99,3
The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,29.99,2
Pride and Prejudice,Jane Austen,Romance,1813,9.99,5
1984,George Orwell,Dystopian,1949,12.99,4
Brave New World,Aldous Huxley,Dystopian,1932,11.99,2
The Great Gatsby,F. Scott Fitzgerald,Classic,1925,10.99,3
To Kill a Mockingbird,Harper Lee,Classic,1960,13.99,4
Dune,Frank Herbert,Sci-Fi,1965,16.99,2
Foundation,Isaac Asimov,Sci-Fi,1951,14.99,3
The Catcher in the Rye,J.D. Salinger,Classic,1951,11.99,2
Fahrenheit 451,Ray Bradbury,Dystopian,1953,12.49,3
Slaughterhouse-Five,Kurt Vonnegut,Sci-Fi,1969,13.49,2
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Sci-Fi,1979,15.99,5
A Game of Thrones,George R.R. Martin,Fantasy,1996,19.99,4
The Name of the Wind,Patrick Rothfuss,Fantasy,2007,17.99,3
Neuromancer,William Gibson,Sci-Fi,1984,14.49,2
The Handmaid's Tale,Margaret Atwood,Dystopian,1985,13.99,3
Beloved,Toni Morrison,Classic,1987,15.99,2
Snow Crash,Neal Stephenson,Sci-Fi,1992,16.49,3
Mistborn,Brandon Sanderson,Fantasy,2006,18.99,2
